Test_ID,penalty_stiffness,damping_factor,contact_damping,steel_E,steel_nu,steel_sigma_yield,steel_limit_strain,wood_E,wood_nu,wood_sigma_uts,wood_limit_strain,Frame,Max_U_Blade,Max_Stress,Max_U_Obs,Blade_Elem,Wood_Elem
2,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,14,0.2034959189623748,179967926.87316373,0.22738475357940216,48,295
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,1,0.027585021845520984,77318322.9525327,0.0003327919160889642,127,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,2,0.04106928945781879,82514033.59555264,0.00036130237762095564,120,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,3,0.05435348005324109,105754054.62099051,0.0008382162339679701,113,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,4,0.06742024076996926,58791414.45530403,0.0023177428986929697,102,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,5,0.08027962651116291,71879479.97956705,0.0029749946541926765,95,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,6,0.09294531248987152,65173325.60467362,0.004531230464420066,88,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,7,0.10542745760355313,66607178.180883266,0.006394110689129906,84,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,8,0.11771427582125622,60510745.61394313,0.008342805026178535,78,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,9,0.12980046457592556,98873667.04092826,0.010898113249248487,71,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,10,0.14171295601446418,83993857.35270916,0.013335907575085607,66,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,11,0.1534215277747443,45936798.56013954,0.01643134609597589,58,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,12,0.16495533375905835,74410621.1910851,0.01944614272010734,56,384
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,13,0.1762882286200475,97574909.36934896,0.02281525855477081,49,383
3,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,14,0.1874282729266647,73671909.59115909,0.027414694590613995,40,382
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,1,0.027585021845520984,77318322.9525327,0.0003327919160889642,127,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,2,0.04106928945781879,82514033.59555264,0.00036130237762095564,120,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,3,0.05435348005324109,105754054.62099051,0.0008382162339679701,113,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,4,0.06742024076996926,58791414.45530403,0.0023177428986929697,102,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,5,0.08027962651116291,71879479.97956705,0.0029749946541926765,95,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,6,0.09294531248987152,65173325.60467362,0.004531230464420066,88,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,7,0.10542745760355313,66607178.180883266,0.006394110689129906,84,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,8,0.11771427582125622,60510745.61394313,0.008342805026178535,78,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,9,0.12980046457592556,98873667.04092826,0.010898113249248487,71,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,10,0.14171295601446418,83993857.35270916,0.013335907575085607,66,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,11,0.1534215277747443,45936798.56013954,0.01643134609597589,58,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,12,0.16495533375905835,74410621.1910851,0.01944614272010734,56,384
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,13,0.1762882286200475,97574909.36934896,0.02281525855477081,49,383
4,20000000.0,15.0,3000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,14,0.1874282729266647,73671909.59115909,0.027414694590613995,40,382
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,1,0.027623240114585005,3726269250.367251,0.0014837886272072956,131,373
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,2,0.0412333390786981,7867965012.579681,0.01820603562573723,127,367
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,3,0.05600456002293394,4516733008.521704,0.03634515711775685,115,364
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,4,0.06796622647009985,9287873820.25564,0.059800551177707884,113,356
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,5,0.0811514034337792,8458981067.745949,0.07869537710013745,113,356
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,6,0.09414027722521638,14035471739.511404,0.0959024505037114,113,337
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,7,0.10693577043965047,22430189053.888916,0.11118524628817593,113,335
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,8,0.11954076216022398,11214281757.13484,0.12756792348575485,113,335
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,9,0.1319580886057951,6833523555.532569,0.14272139812002246,113,324
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,10,0.14419054376911122,9022893379.448748,0.15858856262114307,113,318
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,11,0.15624088004547645,6926701648.876172,0.1726893739058823,113,307
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,12,0.16811180885206276,6871343683.015683,0.18826652719218567,113,306
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,13,0.17980600123799934,7610877971.7179,0.2082659959388657,113,298
5,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,14,0.19132608848537766,6187355505.806005,0.22544163035728718,112,298
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,1,0.027623240114585005,3726269250.367251,0.0014837886272072956,131,373
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,2,0.0412333390786981,7867965012.579681,0.01820603562573723,127,367
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,3,0.05600456002293394,4516733008.521704,0.03634515711775685,115,364
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,4,0.06796622647009985,9287873820.25564,0.059800551177707884,113,356
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,5,0.0811514034337792,8458981067.745949,0.07869537710013745,113,356
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,6,0.09414027722521638,14035471739.511404,0.0959024505037114,113,337
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,7,0.10693577043965047,22430189053.888916,0.11118524628817593,113,335
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,8,0.11954076216022398,11214281757.13484,0.12756792348575485,113,335
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,9,0.1319580886057951,6833523555.532569,0.14272139812002246,113,324
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,10,0.14419054376911122,9022893379.448748,0.15858856262114307,113,318
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,11,0.15624088004547645,6926701648.876172,0.1726893739058823,113,307
